name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
advotogo-n_100,16,12,3,3,3,true,16,0,0,76,0
advotogo-n_1000,578,1500,112,112,105,true,567,0,6,59,38
advotogo-n_200,54,52,5,5,5,true,54,0,0,1,0
advotogo-n_300,113,150,15,15,15,true,113,0,0,1,0
advotogo-n_400,158,235,22,22,22,true,158,0,0,1,0
advotogo-n_500,271,628,36,36,36,true,271,0,0,1,0
advotogo-n_700,402,942,64,64,61,true,397,0,2,2,0
advotogo-n_800,458,1211,79,79,79,true,458,0,0,1,0
baydry,128,2137,7,7,7,true,128,0,0,2,0
baywet,128,2106,7,7,7,true,128,0,0,1,0
biology-n_12-m_33-p_0.5-15,12,33,3,3,0,true,2,0,2,14,10
biology-n_12-m_33-p_0.75-15,12,33,3,3,0,true,6,0,2,2,0
biology-n_12-m_33-p_0.9-15,12,33,3,3,3,true,12,0,0,1,0
biology-n_12-m_43-p_0.5-25,12,43,4,4,0,true,2,0,4,3,1
biology-n_12-m_43-p_0.75-25,12,43,3,3,3,true,12,0,0,1,0
biology-n_12-m_43-p_0.9-25,12,43,1,1,1,true,12,0,0,0,0
biology-n_12-m_45-p_0.5-19,12,45,3,3,0,true,3,0,3,2,0
biology-n_12-m_45-p_0.75-19,12,45,3,3,0,true,3,0,2,3,0
biology-n_12-m_45-p_0.9-19,12,45,1,1,1,true,12,0,0,1,0
biology-n_13-m_39-p_0.5-4,13,39,2,2,0,true,5,0,2,2,0
biology-n_13-m_39-p_0.75-4,13,39,3,3,3,true,13,0,0,0,0
biology-n_13-m_39-p_0.9-4,13,39,4,4,4,true,13,0,0,0,0
biology-n_13-m_51-p_0.5-22,13,51,4,4,0,true,4,0,3,1,0
biology-n_13-m_51-p_0.75-22,13,51,3,3,0,true,5,0,3,3,0
biology-n_13-m_51-p_0.9-22,13,51,3,3,3,true,13,0,0,0,0
biology-n_16-m_79-p_0.5-3,16,79,6,6,0,true,3,0,15,14,1
biology-n_16-m_79-p_0.75-3,16,79,6,6,0,true,1,0,9,3,1
biology-n_16-m_79-p_0.9-3,16,79,4,4,0,true,6,0,2,1,0
biology-n_17-m_89-p_0.5-10,17,89,6,6,0,true,2,0,11,4,1
biology-n_17-m_89-p_0.75-10,17,89,6,6,0,true,2,0,11,3,1
