name,k_optimal,k_solved,millis,verified,recursive_steps
advotogo-n_100,3,3,21,true,0
advotogo-n_1000,112,112,39,true,1
advotogo-n_200,5,5,1,true,0
advotogo-n_300,15,15,1,true,0
advotogo-n_400,22,22,1,true,0
advotogo-n_500,36,36,5,true,0
advotogo-n_700,64,64,18,true,4
advotogo-n_800,79,79,18,true,0
baydry,7,7,4,true,0
baywet,7,7,6,true,0
biology-n_12-m_33-p_0.5-15,3,3,2,true,3
biology-n_12-m_33-p_0.75-15,3,3,0,true,1
biology-n_12-m_33-p_0.9-15,3,3,0,true,0
biology-n_12-m_43-p_0.5-25,4,4,2,true,13
biology-n_12-m_43-p_0.75-25,3,3,0,true,0
biology-n_12-m_43-p_0.9-25,1,1,0,true,0
biology-n_12-m_45-p_0.5-19,3,3,1,true,4
biology-n_12-m_45-p_0.75-19,3,3,1,true,8
biology-n_12-m_45-p_0.9-19,1,1,0,true,0
biology-n_13-m_39-p_0.5-4,2,2,1,true,2
biology-n_13-m_39-p_0.75-4,3,3,0,true,0
biology-n_13-m_39-p_0.9-4,4,4,0,true,0
biology-n_13-m_51-p_0.5-22,4,4,1,true,7
biology-n_13-m_51-p_0.75-22,3,3,1,true,3
biology-n_13-m_51-p_0.9-22,3,3,0,true,0
biology-n_16-m_79-p_0.5-3,6,6,3,true,76
biology-n_16-m_79-p_0.75-3,6,6,4,true,83
biology-n_16-m_79-p_0.9-3,4,4,1,true,19
biology-n_17-m_89-p_0.5-10,6,6,2,true,42
biology-n_17-m_89-p_0.75-10,6,6,4,true,101
biology-n_17-m_89-p_0.9-10,4,4,2,true,8
biology-n_19-m_99-p_0.5-20,7,7,8,true,226
biology-n_19-m_99-p_0.75-20,6,6,3,true,64
biology-n_19-m_99-p_0.9-20,3,3,0,true,0
biology-n_20-m_125-p_0.5-24,8,8,18,true,298
biology-n_20-m_125-p_0.5-7,9,9,9,true,247
biology-n_20-m_125-p_0.75-24,9,9,16,true,544
biology-n_20-m_125-p_0.75-7,5,5,2,true,13
biology-n_20-m_125-p_0.9-24,3,3,2,true,11
biology-n_20-m_125-p_0.9-7,4,4,1,true,3
biology-n_22-m_76-p_0.5-9,4,4,1,true,8
biology-n_22-m_76-p_0.75-9,4,4,1,true,12
biology-n_22-m_76-p_0.9-9,3,3,1,true,7
biology-n_23-m_166-p_0.5-17,12,12,148,true,4419
biology-n_23-m_166-p_0.75-17,10,10,36,true,976
biology-n_23-m_166-p_0.9-17,6,6,2,true,33
biology-n_25-m_231-p_0.5-6,13,13,107,true,3249
